exp_name,semantic_weight,val_rouge1,val_rouge2,val_rougeL,val_keyword_coverage,test_rouge1,test_rouge2,test_rougeL,test_keyword_coverage,test_semantic_match,test_semantic_missed,test_semantic_wrong
ours_semantic_l0,0.0,0.2106,0.1067,0.189,0.4041,0.1834,0.0849,0.1714,0.4509,0.4656,0.5344,0.0427
ours_semantic_l01,0.1,0.2154,0.1133,0.1996,0.4517,0.1793,0.0836,0.1663,0.4248,0.4233,0.5767,0.0491
ours_semantic_l02,0.2,0.2167,0.1129,0.2022,0.4693,0.1876,0.0914,0.1787,0.4573,0.4444,0.5556,0.0662
ours_semantic_l05,0.5,0.1994,0.0929,0.1766,0.3717,0.1679,0.0724,0.1541,0.3848,0.3598,0.6402,0.0321
